"id","code","name","ar_name","state_code"
"393","3021","El borma","البرمة","30"
"394","3101","Oran","وهران","31"
"395","3102","Gdyel","قديل","31"
"396","3103","Bir el djir","بئر الجير","31"
"397","3105","Es senia","السانية","31"
"398","3106","Arzew","أرزيو","31"
"399","3107","Bethioua","بطيوة","31"
"400","3109","Ain turk","عين الترك","31"
"401","3111","Oued tlelat","وادي تليلات","31"
"402","3124","Boutlelis","بوتليليس","31"
"403","3201","El bayadh","البيض","32"
"404","3202","Rogassa","رقاصة","32"
"405","3203","Brezina","بريزينة","32"
"406","3204","Boualem","بوعلام","32"
"407","3205","Labiodh sidi cheikh","الأبيض سيدي الشيخ","32"
"408","3206","Bougtob","بوقطب","32"
"409","3207","Boussemghoun","بوسمغون","32"
"410","3208","Chellala","شلالة","32"
"411","3301","Illizi","إيليزي","33"
"412","3302","Djanet","جانت","33"
"413","3302","Djanet (delegate state)","جانت (ولاية منتدبة)","33"
"414","3306","Ain amenas","إن أمناس","33"
"415","3401","Bordj bou arreridj","برج بوعريريج","34"
"416","3402","Ras el oued","رأس الوادي","34"
"417","3403","Bordj zemmoura","برج زمورة","34"
"418","3404","Mansourah","المنصورة","34"
"419","3408","Ain taghrout","عين تاغروت","34"
"420","3409","Bordj ghedir","برج الغدير","34"
"421","3411","El hamadia","الحمادية","34"
"422","3413","Medjana","مجانة","34"
"423","3415","Djaafra","جعافرة","34"
"424","3431","Bir kasdali","بئر قاصد علي","34"
"425","3501","Boumerdes","بومرداس","35"
"426","3502","Boudouaou","بودواو","35"
"427","3504","Bordj menaiel","برج منايل","35"
"428","3505","Baghlia","بغلية","35"
"429","3507","Naciria","الناصرية","35"
"430","3509","Isser","يسر","35"
"431","3514","Thenia","الثنية","35"
"432","3523","Dellys","دلس","35"
"433","3531","Khemis el khechna","خميس الخشنة","35"
"434","3601","El tarf","الطارف","36"
"435","3602","Bouhadjar","بوحجار","36"
"436","3603","Ben m'hidi","بن مهيدي","36"
"437","3605","El kala","القالة","36"
"438","3608","Bouteldja","بوثلجة","36"
"439","3613","Drean","الذرعان","36"
"440","3616","Besbes","البسباس","36"
"441","3701","Tindouf","تندوف","37"
"442","3801","Tissemsilt","تيسمسيلت","38"
"443","3802","Bordj bounaama","برج بونعامة","38"
"444","3803","Theniet el had","ثنية الاحد","38"
"445","3804","Lazharia","الأزهرية","38"
"446","3806","Lardjem","لرجام","38"
"447","3809","Bordj emir abdelkader","برج الأمير عبد القادر","38"
"448","3811","Khemisti","خميستي","38"
"449","3813","Ammari","عماري","38"
"450","3901","El oued","الوادي","39"
"451","3902","Robbah","الرباح","39"
"452","3904","Bayadha","البياضة","39"
"453","3906","Guemar","قمار","39"
"454","3908","Reguiba","الرقيبة","39"
"455","3911","Debila","الدبيلة","39"
"456","3913","Hassi khalifa","حاسي خليفة","39"
"457","3914","Taleb larbi","الطالب العربي","39"
"458","3918","Magrane","المقرن","39"
"459","3926","Mih ouensa","اميه وانسة","39"
"460","3927","El meghaier (delegate state)","المغير","39"
"461","3927","El meghaier","المغير (ولاية منتدبة)","39"
"462","3928","Djamaa","جامعة","39"
"463","4001","Khenchela","خنشلة","40"
"464","4003","Kais","قايس","40"
"465","4005","El hamma","الحامة","40"
"466","4006","Ain touila","عين الطويلة","40"
"467","4008","Bouhmama","بوحمامة","40"
"468","4011","Chechar","ششار","40"
"469","4013","Babar","بابار","40"
"470","4016","Ouled rechache","أولاد رشاش","40"
"471","4101","Souk ahras","سوق أهراس","41"
"472","4102","Sedrata","سدراتة","41"
"473","4104","Mechroha","المشروحة","41"
"474","4105","Ouled driss","أولاد إدريس","41"
"475","4108","Taoura","تاورة","41"
"476","4110","Haddada","الحدادة","41"
"477","4112","Merahna","المراهنة","41"
"478","4114","Bir bouhouche","بئر بوحوش","41"
"479","4115","M'daourouche","مداوروش","41"
"480","4116","Oum el adhaim","أم العظايم","41"
"481","4201","Tipaza","تيبازة","42"
"482","4208","Hadjout","حجوط","42"
"483","4209","Sidi amar","سيدي أعمر","42"
"484","4210","Gouraya","قوراية","42"
"485","4214","Cherchell","شرشال","42"
"486","4215","Damous","الداموس","42"
"487","4217","Fouka","فوكة","42"
"488","4218","Bou ismail","بواسماعيل","42"
"489","4219","Ahmar el ain","أحمر العين","42"
"490","4224","Kolea","القليعة","42"
"491","4301","Mila","ميلة","43"
"492","4302","Ferdjioua","فرجيوة","43"
"493","4303","Chelghoum laid","شلغوم العيد","43"
"494","4306","Teleghma","التلاغمة","43"
"495","4308","Tadjenanet","تاجنانت","43"
"496","4310","Oued endja","وادي النجاء","43"
"497","4314","Bouhatem","بوحاتم","43"
"498","4315","Rouached","الرواشد","43"
"499","4317","Grarem gouga","القرارم قوقة","43"
"500","4318","Sidi merouane","سيدي مروان","43"
"501","4319","Tassadane haddada","تسدان حدادة","43"
"502","4323","Terrai bainen","ترعي باينان","43"
"503","4330","Ain beida harriche","عين البيضاء أحريش","43"
"504","4401","Ain defla","عين الدفلى","44"
"505","4402","Miliana","مليانة","44"
"506","4403","Boumedfaa","بومدفع","44"
"507","4404","Khemis","خميس","44"
"508","4405","Hammam righa","حمام ريغة","44"
"509","4407","Djelida","جليدة","44"
"510","4408","El amra","العامرة","44"
"511","4410","El attaf","العطاف","44"
"512","4411","El abadia","العبادية","44"
"513","4412","Djendel","جندل","44"
"514","4414","Ain lechiakh","عين الاشياخ","44"
"515","4416","Rouina","الروينة","44"
"516","4422","Bordj el emir khaled","برج الأمير خالد","44"
"517","4431","Bathia","بطحية","44"
"518","4501","Naama","النعامة","45"
"519","4502","Mecheria","المشرية","45"
"520","4503","Ain sefra","عين الصفراء","45"
"521","4505","Sfissifa","سفيسيفة","45"
"522","4506","Moghrar","مغرار","45"
"523","4507","Asla","عسلة","45"
"524","4510","Mekmen ben amar","مكمن بن عمار","45"
"525","4601","Ain temouchent","عين تموشنت","46"
"526","4604","Hammam bou hadjar","حمام بوحجر","46"
"527","4609","Ain larbaa","عين الأربعاء","46"
"528","4614","El maleh","المالح","46"
"529","4619","El amria","العامرية","46"
"530","4622","Ain kihel","عين الكيحل","46"
"531","4623","Beni saf","بني صاف","46"
"532","4625","Oulhassa gheraba","ولهاصة الغرابة","46"
"533","4701","Ghardaia","غرداية","47"
"534","4702","El menia","المنيعة","47"
"535","4702","El menia (delegate state)","المنيعة (ولاية منتدبة)","47"
"536","4703","Dhayet ben dhahoua","ضاية بن ضحوة","47"
"537","4704","Berriane","بريان","47"
"538","4705","Metlili","متليلي","47"
"539","4706","El guerrara","القرارة","47"
"540","4708","Zelfana","زلفانة","47"
"541","4710","Bounoura","بونورة","47"
"542","4713","Mansourah","المنصورة","47"
"543","4801","Relizane","غليزان","48"
"544","4802","Oued rhiou","وادي رهيو","48"
"545","4807","El h'madna","الحمادنة","48"
"546","4808","Sidi m'hamed ben ali","سيدي أمحمد بن علي","48"
"547","4811","Ammi moussa","عمي موسى","48"
"548","4812","Zemmoura","زمورة","48"
"549","4814","Djidiouia","جديوية","48"
"550","4817","El matmar","المطمر","48"
"551","4819","Ain tarek","عين طارق","48"
"552","4822","Mazouna","مازونة","48"
"553","4825","Yellel","يلل","48"
"554","4827","Ramka","الرمكة","48"
"555","4828","Mendes","منداس","48"
"556","7050","Ouled djellal (delegate state)","أولاد جلال (ولاية منتدبة)","7"
"557","8070","Beni abbes (delegate state)","بني عباس (ولاية منتدبة)","8"
